original_comment,processed_comment,actual_label,predicted_label
RT @pringlezXII: Dont message me your number and tell me to text you.... I'm not your bitch lol,rt pringlezxii dont message number tell text im bitch laugh loud,1,1
RT @pro_failure: My favorite childhood memory was when my mom found my stash of 30 Xanax then was slightly less of a bitch for exactly one &#8230;,rt profailure favorite childhood memory mom found stash 30 xanax slightly less bitch exactly one 8230,1,1
"RT @prolongshop: #LED #Christmas #decor Lights 10m 33ft 100 LED #Fairy string #Light for Outdoor/Indoor, 

http://t.co/2ew0jjhB6n",rt prolongshop led christmas decor light 10m 33ft 100 led fairy string light outdoorindoor httptco2ew0jjhb6n,0,0
"RT @proofgelato: Sweet treat at lunch today - raspberry gelato, gin+juice sorbet &amp; brownie gelato! #GelatoCart Thursday - can't wait ...",rt proofgelato sweet treat lunch today raspberry gelato ginjuice sorbet amp brownie gelato gelatocart thursday cant wait,0,0
"RT @psjohnson23: The problem with retard liberals is they think Supply &amp; Demand means ""Supply me with everything I Demand."" #VotingMatters",rt psjohnson23 problem retard liberal think supply amp demand mean supply everything demand votingmatters,1,1
RT @pterosaur: Is Nick Jonas a hoe for squeezing his dick? Is Nick Jonas gonna have leaked nudes? Is Nick Jonas less of a role model?,rt pterosaur nick jonas hoe squeezing dick nick jonas going leaked nude nick jonas less role model,1,1
RT @pumpkinheaddd: &#128530; why these hoes acting like they not getting fucked &amp; sucking dick &#128080; but I ain't saying nothing &#128520;,rt pumpkinheaddd 128530 hoe acting like getting fucked amp sucking dick 128080 aint saying nothing 128520,1,1
RT @que: I know u dawg hoes bck in style,rt que know dawg hoe bck style,1,1
RT @quecaine: white bitches love cocaine,rt quecaine white bitch love cocaine,1,1
"RT @queenallyssa: When your man call you a bitch when y'all arguing he don't think you really a bitch, you just actin like one",rt queenallyssa man call bitch yall arguing dont think really bitch actin like one,1,1
RT @queenalyzee_: We ain't friends hoe,rt queenalyzee aint friend hoe,1,1
RT @queenc_nt: &#8220;@_100d: 90% of niggas goofy and act like bitches&#8221; YOU AINT LYIN,rt queencnt 8220100d 90 nigga goofy act like bitches8221 aint lyin,1,1
RT @queenthottie_x3: So proud of mahanain &#9825; she still a hoe tho,rt queenthottiex3 proud mahanain 9825 still hoe tho,1,1
RT @quirkisms: Jeter to A-Rod. From class to trash.,rt quirkisms jeter arod class trash,1,0
RT @rachael_goss: Who wants to chill on campus w me &amp; throw bibles at bitches taking the walk of shame&#10067;&#10068;,rt rachaelgoss want chill campus w amp throw bible bitch taking walk shame1006710068,1,1
RT @radiomaru: nerds are cool because they get really judge-y about other nerds being passionate about things they aren't passionate abo ...,rt radiomaru nerd cool get really judgey nerd passionate thing arent passionate abo,0,1
RT @radiotour_en: Duchess of Cambridge to present the first yellow jersey http://t.co/8VVNU9DrFM #TDF,rt radiotouren duchess cambridge present first yellow jersey httptco8vvnu9drfm tdf,0,0
RT @raejeanhightowe: &#8220;@Swuu_TheGod: Stop &#9995; playin bitch &#128589; you know I'm MVP &#127942;&#128526;&#8221;,rt raejeanhightowe 8220swuuthegod stop 9995 playin bitch 128589 know im mvp 1279421285268221,1,1
RT @raeleenehoe: I hate it when a bitch know I don't fuck with her &amp; she really trying to talk to me like we cool nahh bitch foh you don't &#8230;,rt raeleenehoe hate bitch know dont fuck amp really trying talk like cool nahh bitch foh dont 8230,1,1
"RT @raider_level: She was like ""I don't go to raider games. They are ghetto and people get jumped"" lmao I was like ""well the shit sound lik&#8230;",rt raiderlevel like dont go raider game ghetto people get jumped laughing as like well shit sound lik8230,1,1
RT @random_shxt: need my dick sucked..fuck 1 bitch I need &#9996;&#65039; sluts,rt randomshxt need dick suckedfuck 1 bitch need 999665039 slut,1,1
RT @randycaliboi: When I hear an ugly bitch talk about another ugly bitch &#128528; ... http://t.co/RwvyvPYE2n,rt randycaliboi hear ugly bitch talk another ugly bitch 128528 httptcorwvyvpye2n,1,1
RT @randypop84: U bitches ain't paying my bills......so FUCK YOU,rt randypop84 bitch aint paying billsso fuck,1,1
"RT @rappersaid: When Joey Bada$$ said ""Traded in my Nikes for a new mic, I guess it's safe to say he sold his soles for a new life."" http:/&#8230;",rt rappersaid joey bada said traded nike new mic guess safe say sold sol new life http8230,0,0
"RT @rappersaid: When Tupac said ""I ain't a killer but don't push me, revenge is the sweetest joy next to getting pussy."" http://t.co/wL3mtG&#8230;",rt rappersaid tupac said aint killer dont push revenge sweetest joy next getting pussy httptcowl3mtg8230,1,1
"RT @rappersaid: When Tyler the Creator said ""Rape a pregnant bitch and tell my friends I had a threesome."" http://t.co/ImPo02Ge65",rt rappersaid tyler creator said rape pregnant bitch tell friend threesome httptcoimpo02ge65,1,1
RT @rarebreedkena: shoutout to @OGMaco bitch you guessed it remix shit is &#128293;&#128293;&#128293;,rt rarebreedkena shoutout ogmaco bitch guessed remix shit 128293128293128293,1,1
RT @rasheed_wavy: @vivalakristia he bein a bitch,rt rasheedwavy vivalakristia bein bitch,1,1
"RT @rbomem: @viva_based broke, no even though Obama is working on it, bitch, no I got something between so no",rt rbomem vivabased broke even though obama working bitch got something,1,1
RT @rcooley123: Bill Maher mocks gullible America for missing the real enemy http://t.co/ApnsVg35Uf,rt rcooley123 bill maher mock gullible america missing real enemy httptcoapnsvg35uf,0,0
RT @realist_iLLest: &#8220;@187XO_: Before I run from a niggah I'll lose the fight&#8221;,rt realistillest 8220187xo run niggah ill lose fight8221,1,1
RT @realist_iLLest: Mine too &#128513;&#128588;&#128076; RT &#8220;@187XO_: This ma niggah @trigga_tre123 &#128076;&#8221;,rt realistillest mine 128513128588128076 rt 8220187xo niggah triggatre123 1280768221,1,1
RT @realjonathanp: Bible RT @macktology101: You a hoe if you already got New Years Eve plans,rt realjonathanp bible rt macktology101 hoe already got new year eve plan,1,1
RT @rebecca7054: &#8220;@CaitlinBartlett: yeah bitches http://t.co/2PP9RboHy4&#8221;,rt rebecca7054 8220caitlinbartlett yeah bitch httptco2pp9rbohy48221,1,1
RT @rebelGANJA: &#8220;@1BookieG: Idk why I love skinny girls&#8221; they got good pussy &#9994;,rt rebelganja 82201bookieg I know love skinny girls8221 got good pussy 9994,1,1
"RT @rebellious_midy: @wheeler_kashhh lol oh godddddd , bitch is you really coming &amp; how late you gon be lls",rt rebelliousmidy wheelerkashhh laugh loud oh godddddd bitch really coming amp late gon lls,1,1
RT @rebellious_midy: Ugly bitches definitely disguste me &#128534; ewww yuck!,rt rebelliousmidy ugly bitch definitely disguste 128534 ewww yuck,1,1
RT @redbonejasssy: She said I got to many hoes,rt redbonejasssy said got many hoe,1,1
RT @redemptionzayn: I inhale white exhale nigger,rt redemptionzayn inhale white exhale nigger,1,1
RT @reidk_97: Flappy bird is dusty,rt reidk97 flappy bird dusty,0,0
